_name,_gtfs_id,Address,HandicapAccessible,Escalator_Access,TTYPhone_Access,FullHighs_Access,MiniHighs_Access,Elevator_Access,MobileLift_Access,Ramp_Access,ParkingType,Operator ,RT/CR,Line,ParkingRate,SpacesAvailable,AccessibleParkingSpaces,AverageSpacesAvailable,BikeSpaces,ManagedByEmail,ManagedByLabel,ManagedByPhone,ManagedByWeb,PayByPhoneId,AdditionalNotes,Photo1,Photo2,Area_Map,Comments
Aquarium,place-aqucl,"Atlantic Ave and State St, Boston, MA 02120",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,Aquarium001.jpg,Aquarium002.jpg,aquariummap.gif,
Arlington,place-armnl,"Arlington St and Boylston St, Boston, MA 02116",Yes,None,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,Arlington001.jpg,Arlington002.jpg,arlingtonmap.gif,
Ashland,Ashland,"Pleasant St and Cordaville Rd, Ashland, MA 01721",Yes,None,No,No,Yes,,No,Yes,Unattended Lot,MBTA,Commuter Rail,Framingham/Worcester,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",678,16,0.68,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4281,For train information at Ashland Station tune to 1630 AM,,,,
Ashmont,place-asmnl,"Dorchester Ave and Ashmont St, Boston, MA 02124",Yes,Up,No,N/A,N/A,Yes,Yes,Yes,,,,,,,,,8,,,,,,,ashmount001.jpg,ashmount002.jpg,ashmontmap.gif,
Assembly,place-astao,"499 Foley St, Somerville, MA 02145",Yes,None,No,N/A,No,Yes,No,No,,,,,,,,,,,,,,,The north entrance and north headhouse are the entrance and exit to and from the platform. The south entrance and south headhouse are still under construction and are to be used for emergency egress only.,,,,
Attleboro,Attleboro,"133 S Main St, Attleboro, MA 02703",Yes,None,No,No,Yes,,No,Yes,Unattended Lot,,,,Daily: $4 | Monthly: 70,780,16,,28,,Greater Attleboro/Taunton Regional Transit Authority,401-274-5586,http://www.gatra.org/index.php/special-services/parking-passes/,,For train information at Attleboro Station tune to 1640 AM,,,,
Auburndale,Auburndale,"Auburn St and Woodland Rd, Newton, MA 02466",No,None,No,No,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Framingham/Worcester,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",33,2,,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4249,,,,,Parking often fills up. We recommend you arrive before 7:30 AM.
Ayer,Ayer,"70 Main St, Ayer, MA 01432",No,None,No,No,No,No,No,No,Surface Lot,,,,Free,90,,,0,,Town of Ayer,978-772-8220,https://www.ayer.ma.us/,,,,,,"Town of Ayer is responsible for parking lot snow removal and maintenance. Please contact MBTA Customer Service regarding platform snow removal, cleanliness and maintenance issues."
Babcock,place-babck,"Commonwealth Ave and Babcock St, Boston, MA 02215",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BabcockSt001.jpg,BabcockSt002.jpg,babcockmap.gif,
Back Bay,place-bbsta,"145 Dartmouth St Boston, MA 02116",Yes,Up,No,Yes,Yes,Yes,No,No,,,,,,,,,40,,,,,,,,,,
Back of the Hill,place-bckhl,"100 S Huntington Ave, Boston, MA 02130",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Back of the Hill001.jpg,,backofthehillmap.gif,
Ballardvale,Ballardvale,"195 Andover St, Andover, MA 01810",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Haverhill,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",115,2,0.43,9,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4231,For train information at Ballardvale Station tune to 1640 AM,,,,
Beachmont,place-bmmnl,"630 Winthrop Ave, Revere, MA 02151",Yes,Down,No,N/A,N/A,Yes,No,No,Attended Lot,MBTA,Rapid Transit,BlueLine,"Daily: $5 PayByPhone, $5.50 invoice | Monthly: $105",424,6,0.43,6,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4384,,Beachmont001.jpg,Beachmont002.jpg,beachmontmap.gif,
Beaconsfield,place-bcnfd,"124 Beaconsfield Rd, Brookline, MA 02445",No,None,No,N/A,N/A,No,No,No,Unattended Lot,,Rapid Transit,,$2 per hour,11,,,8,,Town of Brookline,617-730-2177,http://www.brooklinema.gov/147/Parking-Meters,,,beacons feild001.jpg,beacons feild002.jpg,beaconsfieldmap.gif,
Bellevue,Bellevue,"35 Colbert St, West Roxbury, MA 02132",Yes,None,No,No,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Needham,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",37,2,0.66,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4360,,,,,
Belmont Center,Belmont,"Common St and Concord Ave, Belmont, MA 02478",No,None,No,No,No,No,No,No,,,,,Daily: $5 | Monthly: $90,,,,8,,Town of Belmont,617-993-2530,http://www.belmont-ma.gov/parking-clerk/pages/commuter-parking,,,,,,
Beverly Depot,Beverly,"10 Park St, Beverly, MA 01915",Yes,None,No,No,Yes,No,No,No,Garage,MBTA,Commuter Rail,Newburyport/Rockport,"$5 for first 14 hours, $12 for 14-24 hours",498,11,,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,,,,,,
Beverly Farms,Beverly Farms,"1 Oak St, Beverly, MA 01915",Yes,None,No,No,Yes,No,No,No,Free Parking,,,,Free,25,1,,7,,City of Beverly,978-921-6000,http://www.beverlyma.gov,,,,,,"Please contact MBTA Customer Support regarding platform snow removal, cleanliness and maintenance issues."
Black Falcon Ave & Design Center Place,31255,"Black Falcon Ave and Design Center Place, Boston, MA 02210",Yes,None,No,N/A,N/A,N/A,No,No,,,,,,,,,,,,,,,,,,,
Blandford,place-bland,"Commonwealth Ave and Blandford Mallt, Boston, MA 02215",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BlandfordSt001.jpg,BlandfordSt002.jpg,blandfordmap.gif,
Boston College,place-lake,"Commonwealth Ave and Lake St, Boston, MA 02135",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BostonCollege001.jpg,BostonCollege002.jpg,bucentralmap.gif,
Boston Landing,Boston Landing,"100 Arthur St, Boston, MA 02134",Yes,None,No,Yes,No,Yes,No,No,,,,,,,,,,,,,,,,,,,
Boston University Central,place-bucen,"Commonwealth Ave and Marsh Chapel, Boston, MA 02215",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BU_Central001.jpg,BU_Central002.jpg,bosunivcentralmap.gif,
Boston University East,place-buest,"Commonwealth Ave and Granby St, Boston, MA 02215",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BU_East001.jpg,BU_East002.jpg,bosuniveastmap.gif,
Boston University West,place-buwst,"Commonwealth Ave and Amory St, Boston, MA 02215",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BU_West001.jpg,BU_West002.jpg,bosunivwestmap.gif,
Bowdoin,place-bomnl,"Cambridge St and New Chardon St/Bowdoin St, Boston, MA 02114",No,Up,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Bowdoin001.jpg,Bowdoin002.jpg,bowdoinmap.gif,
Boylston,place-boyls,"Boylston St and Tremont St, Boston, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,boylstonphoto.gif,,boylstonmap.gif,
Bradford,Bradford,"10 Railroad Ave, Bradford, MA 01835",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Haverhill,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",303,9,0.78,12,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4232,For train information at Bradford Station tune to 1630 AM,,,,
Braintree,place-brntn,"197 Ivory St, Braintree, MA 02184",Yes,Both,No,Yes,N/A,Yes,No,Yes,Garage,MBTA,Commuter Rail,Kingston/Plymouth,"Daily: $7 for the first 24 hours, $8 for each additional 24 hours | Monthly: $200",1321,22,<1%,30,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4403,,Braintree001.jpg,Braintree002.jpg,braintreemap.gif,
Brandeis/Roberts,Brandeis/ Roberts,"1 Sawyer Rd, Waltham, MA 02453",Yes,None,No,No,Yes,,No,,Unattended Lot,MBTA,Commuter Rail,Fitchburg,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",24,1,0.86,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4250,For train information at Brandeis/Roberts Station tune to 1630 AM,,,,
Brandon Hall,place-bndhl,"Fairmount Ave and Truman Hwy, Hyde Park, MA 02136",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BrandonHall001.jpg,BrandonHall002.jpg,brandonhallmap.gif,
Bridgewater,Bridgewater,"85 Burrill Ave, Bridgewater, MA 02324",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Middleborough/Lakeville,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",502,10,0.63,24,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4404,For train information at Bridgewater Station tune to 1630 AM,,,,
Brigham Circle,place-brmnl,"Huntington Ave and Francis St, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BrighamCircle001.jpg,BrighamCircle002.jpg,brighammap.gif,
Broadway,place-brdwy,"Dorchester Ave and Broadway, Boston, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,broadway001.jpg,broadway002.jpg,broadway.gif,
Brockton,Brockton,"7 Commercial St, Brockton, MA 02302",Yes,None,No,Yes,No,No,No,No,Surface Lot,,,,"Daily: $3 cash/credit, $2.35 mPay2Park, $2 Smart Card",266,10,,8,,Brockton Area Transit Authority,508-588-1000,http://www.ridebat.com/about/parking/,,For train information at Brockton Station tune to 1500 AM,,,,"Brockton Area Transit Authority (BAT) is responsible for parking lot snow removal, maintenance and fee collection. Please contact MBTA Customer Service regarding platform snow removal, cleanliness and maintenance issues."
Brookline Hills,place-brkhl,"Next to Brookline High School near Cypress and Tappan Sts, Brookline, MA",Yes,None,No,N/A,N/A,No,yes,No,Unattended Lot,,Rapid Transit,,$2 per hour,9,,,6,,Town of Brookline,617-730-2177,http://www.brooklinema.gov/147/Parking-Meters,,,BrooklineHills001.jpg,BrooklineHills002.jpg,brooklinehillsmap.gif,
Brookline Village,place-bvmnl,"On Station St off Harvard St between Route 9 and Washington St, Brookline, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,15,,,,,,,bklnvil.gif,,brooklinevillagemap.gif,
Butler,place-butlr,"Butler St and Branchfield St, Dorchester, MA 02124",Yes,None,No,N/A,N/A,No,No,No,Unattended Lot,MBTA,Rapid Transit,RedLine,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",44,,0.85,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4405,,butler001.jpg,butler002.jpg,butlermap.gif,
Campello,Campello,"30 Riverside Ave, Brockton, MA 02301",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Middleborough/Lakeville,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",535,11,0.79,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4421,For train information at Campello Station tune to 1630 AM,,,,
Canton Center,Canton Center,"710 Washington St, Canton, MA 02021",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Providence/Stoughton,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",215,4,<48%,10,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4361,For train information at Canton Center Station tune to 1700 AM,,,,
Canton Junction,Canton Junction,"Beaumont St and Sherman St, Canton, MA 02021",Yes,None,No,No,Yes,No,No,Yes,Unattended Lot,MBTA,Commuter Rail,Providence/Stoughton,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",764,14,<43%,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4362,For train information at Canton Junction Station tune to 1700 AM,,,,
Capen,place-capst,"Capen St off Eliot St, Milton, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,capen St001.jpg,capen St002.jpg,capenstmap.gif,
Cedar Grove,place-cedgr,"Adams St and Milton St, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,CedarGrove001.jpg,CedarGrove002.jpg,cedargrovemap.gif,
Central Ave,place-cenav,"Central Ave off Elliot St, Milton, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,CentralAve001.jpg,CentralAve002.jpg,centralmap.gif,
Central Square,place-cntsq,"Massachusetts Ave and Western Ave/Prospect St/Magazine St, Cambridge, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,36,,,,,,,CENTRAL-SQUARE001.jpg,,centralsquaremap.gif,
Charles/MGH,place-chmnl,"Cambridge St and Charles St, near Massachusetts General Hospital, Boston, MA",Yes,Both,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,Charles-St001.jpg,Charles-St002.jpg,charles_mghmap.gif,
Charlestown Navy Yard Ferry Terminal,Boat-Charlestown,"Pier 3, Boston, MA 02129",Yes,N/A,No,N/A,N/A,N/A,No,Yes,,,,,,,,,,,,,,,,,,,
Chelsea,Chelsea,"Arlington St and 6th St, Chelsea, MA 02150",No,None,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,"Please contact MBTA Customer Service regarding platform snow removal, cleanliness and maintenance issues."
Chestnut Hill,place-chhil,"Hammond St and Boylston St, Newton, MA 02467",No,None,No,N/A,N/A,No,No,No,Unattended Lot,MBTA,Rapid Transit,GreenLine_D,"Daily: $6 PayByPhone, $6.50 invoice",70,,<1%,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,,,,,,Parking often fills up. We recommend you arrive before 6:30 AM.
Chestnut Hill Ave,place-chill,Commonwealth Ave and Chestnut Hill Ave,No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,4251,,ChestnutHillAve001.jpg,ChestnutHillAve002.jpg,chesnuthillmap.gif,
Chinatown,place-chncl,"640 Washington St at 1 Boylston St, Boston, MA",Yes,None,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,Chinatown001.jpg,Chinatown002.jpg,chinatownmap.gif,
Chiswick Road,place-chswk,"Commonwealth Ave and Chiswick Rd, Boston, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Chiswickrd001.jpg,Chiswickrd002.jpg,chismap.gif,
Cleveland Circle,place-clmnl,"Beacon St and Chestnut Hill Ave, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,10,,,,,,,ClevelandCir001.jpg,ClevelandCir002.jpg,clevecirclemap.gif,
Cohasset,Cohasset,"110 Chief Justice Cushing Hwy, Cohasset, MA 02025",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Greenbush,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",410,10,0.71,,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4429,For train information at Cohasset Station tune to 1630 AM,,,,
Community College,place-ccmnl,"Austin St, west of Rutherford Ave, Charlestown, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,5,,,,,,,CommunityCollege001.jpg,CommunityCollege002.jpg,commcollegemap.gif,
Concord,Concord,"90 Thoreau St, Concord, MA",No,None,No,No,No,No,No,No,Surface Lot,,,,Free,86,2,,10,,Town of Concord,978-318-3050,http://www.concordma.gov/1904/Park,,For train information at Concord Station tune to 1630 AM,,,,"Town of Concord is responsible for parking lot maintenance. Please contact MBTA Customer Service regarding platform snow removal, cleanliness and maintenance issues."
Coolidge Corner,place-cool,"Beacon St and Harvard St, Brookline, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,20,,,,,,,Coolidgecorner001.jpg,Coolidgecorner002.jpg,coolidgemap.gif,
Copley,place-coecl,"640 Boylston St at 230 Dartmouth St, Boston, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,Copley001.jpg,Copley002.jpg,copleymap.gif,
Courthouse,place-crtst,"Seaport Boulevard at Pittsburg St, South Boston Waterfront",Yes,Both,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,,,,
Davis,place-davis,"Intersection of College Ave, Elm St, and Holland St, Somerville, MA",Yes,Both,No,N/A,N/A,Yes,No,No,,,,,,,,,165,,,,,,,davisphoto.gif,davisstation.gif,davismap.gif,
Dean Road,place-denrd,"Beacon St and Dean Road, Brookline, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,,,deanrdmap.gif,
Dedham Corporate,Dedham Corp Center,"125 Allied Dr, Dedham, MA 02026",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Franklin,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",497,11,0.75,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4363,For train information at Dedham Corporate Station tune to 1630 AM,,,,
Downtown Crossing,place-dwnxg,"Corner of Washington St and Summer St and the corner of Chauncey St and Summer St, Boston, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,,,downtownmap.gif,
Dudley Square,64,"Washington St at Dudley St, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,,,,
Dudley Square,64000,"Washington St at Dudley St, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,,,,
East Berkeley St,5098,"Washington St at East Berkeley St, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,2,,,,,,,,,,
East Berkeley St,5095,"Washington St at East Berkeley St, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,2,,,,,,,,,,
East Weymouth,East Weymouth,"1590 Commercial St, East Weymouth, MA, 02189",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Greenbush,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",335,8,<41%,,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4434,,,,,Parking often fills up. We recommend you arrive before 7:30 AM.
Eliot,place-eliot,"248 Lincoln St, Newton, MA 02461",No,None,No,N/A,N/A,No,No,No,Unattended Lot,MBTA,Rapid Transit,GreenLine_D,"Daily: $6 PayByPhone, $6.50 invoice",55,,<1%,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4253,,Elliot001.jpg,Elliot002.jpg,eliotmap.gif,Parking often fills up. We recommend you arrive before 7:30 AM.
Endicott,Endicott,"186 Grant Ave, Dedham, MA 02026",No,None,No,No,No,No,No,No,Surface Lot,,,,Free,45,,,0,,Town of Dedham,781-751-9100,http://www.dedham-ma.gov/Home/Components/BusinessDirectory/BusinessDirectory/116/759,,,,,,"Town of Dedham is responsible for parking lot maintenance. Please contact MBTA Customer Service regarding platform snow removal, cleanliness and maintenance issues."
Englewood Ave,place-engav,"Beacon St and Englewood Ave, Brookline, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,EnglewoodAve001.jpg,EnglewoodAve002.jpg,englewoodmap.gif,
Fairbanks,place-fbkst,"Beacon St and Fairbanks Ave, Brookline, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Fairbanks001.jpg,Fairbanks002.jpg,fairbanksmap.gif,
Fairmount,Fairmount,"Fairmount Ave and Truman Hwy, Hyde Park, MA 02136",Yes,None,No,No,Yes,No,No,Yes,Unattended Lot,MBTA,Commuter Rail,Fairmont,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",51,2,0.81,20,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4364,,,,,
Fenway,place-fenwy,"At park Drive across from intersection with the Riverway, next to old Sears Roebuck Building, Boston",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,18,,,,,,,fenway.gif,,fenwaymap,
Fenwood Road,place-fenwd,"Huntington Ave and Fenwood Rd, Boston, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Fenwood001.jpg,Fenwood002.jpg,fenwoodmap.gif,
Fields Corner,place-fldcr,"West of Dorchester Ave, near Park St Access from Charles St, Dorchester Ave and Geneva Ave, Boston, MA",Yes,Both,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,FieldsCorner001.jpg,FieldsCorner002.jpg,fieldscornermap.gif,
Fitchburg,Fitchburg,"100 Main St, Fitchburg, MA 01420",Yes,None,No,No,Yes,No,No,No,Garage,,,,Daily: $3 | Monthly: $50,400,6,,20,,Montachusett Regional Transit Authority,978-345-7711,http://www.mrta.us/about/commuter-rail-parking/fitchburg,,For train information at Fitchburg Station tune to 1630 AM,,,,
Forest Hills,place-forhl,"Washington St and South Street, Boston, MA 02130",Yes,Both,No,Yes,N/A,Yes,No,No,Attended Lot,MBTA,Commuter Rail,Needham,"Daily: $6 PayByPhone, $6.50 invoice | Monthly: $125",156,5,<1%,32,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4396,,Foresthills001.jpg,Foresthills002.jpg,foresthillmap.gif,
Forge Park/Route 495,Forge Park / 495,"1000 W Central St, Franklin, MA 02038",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Franklin,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",716,15,<44%,14,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4385,For train information at Forge Park/Route 495 Station tune to 1630 AM,,,,
Four Corners,Four Corners / Geneva,"171 Geneva Ave, Boston, MA 02121",Yes,None,No,Yes,No,No,No,Yes,Unattended Lot,MBTA,Commuter Rail,Franklin,,4,1,,20,,,,,,,,,,
Foxboro,Southborough,N/A,Yes,None,No,No,Yes,No,No,No,Only used for events at Gillette Stadium,,,,,,,,0,,,,,,,,,,Only used for events at Gillette Stadium.
Framingham,Framingham,"417 Waverly St, Framingham, MA 01702",Yes,None,No,No,Yes,Yes,No,No,Unattended Lot,MBTA,Commuter Rail,Framingham/Worcester,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",290,8,<28%,10,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4254,For train information at Framingham Station tune to 1640 AM,,,,Parking often fills up. We recommend you arrive before 7 AM.
Franklin,Franklin,"75 Depot St, Franklin, MA 02038",No,None,No,No,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Franklin,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",173,3,<16%,7,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4367,For train information at Franklin Station tune to 1630 AM,,,,Parking often fills up. We recommend you arrive before 7 AM.
George's Island,Boat-George,George's Island,Yes,N/A,No,N/A,N/A,N/A,No,Yes,,,,,,,,,,,,,,,,,,,
Gloucester,Gloucester,"75 Railroad Ave, Gloucester, MA 01930",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Newburyport/Rockport,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",100,2,0.77,5,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4233,For train information at Gloucester Station tune to 1630 AM,,,,
Government Center,place-gover,"By Boston City Hall at the junction of Tremont, Court, and Cambridge St, Boston, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,GovernmentCtr001.jpg,gov_center.jpg,govcentermap.gif,
Grafton,Grafton,"1 Pine St, North Grafton, MA 01536",Yes,None,No,No,Yes,No,No,Yes,Unattended Lot,MBTA,Commuter Rail,Framingham/Worcester,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",373,5,0.51,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4255,For train information at Grafton Station tune to 1630 AM,,,,
Green,place-grnst,"150 Green St at 380 Amory St, Boston, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,22,,,,,,,GreenSt001.jpg,GreenSt002.jpg,greenstmap.gif,
Greenbush,Greenbush,"247 Old Driftway, Scituate, MA 02066",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Greenbush,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",995,22,0.79,,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4435,For train information at Greenbush Station tune to 1630 AM,,,,
Greenwood,Greenwood,"907 Main St, Wakefield, MA 01880",No,None,No,No,No,No,No,No,Unattended Lot,,,,Daily: $2,76,1,,6,,Town of Wakefield,781-246-6330,http://www.wakefield.ma.us,,,,,,"Town of Wakefield is responsible for parking lot snow removal, maintenance and fee collection. Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness and maintenance issues."
